timestamp,ssid,threat_score,combined_risk
2026-07-16 12:31:57,OfficeWiFi,33.0,32.7
2026-07-16 12:31:57,OfficeWiFi,75.0,55.5
2026-07-16 12:31:57,GuestWiFi,13.0,24.7
2026-07-16 12:34:04,ro3,43.0,17.2
2026-07-16 12:44:11,OfficeWiFi,33.0,28.4
2026-07-16 12:44:11,OfficeWiFi,75.0,37.7
2026-07-16 12:44:11,GuestWiFi,13.0,25.4
2026-07-16 12:46:01,ro3,33.0,5.0
2026-07-16 12:56:24,ro3,33.0,5.0
2026-07-16 13:12:25,OfficeWiFi,33.0,14.7
2026-07-16 13:12:25,OfficeWiFi,75.0,22.5
2026-07-16 13:12:25,GuestWiFi,13.0,11.9
2026-07-16 13:15:01,ro3,33.0,14.1
2026-07-16 13:31:03,ro3,33.0,13.9
2026-07-16 13:38:00,OfficeWiFi,33.0,14.7
2026-07-16 13:38:00,OfficeWiFi,75.0,22.5
2026-07-16 13:38:00,GuestWiFi,13.0,11.9
2026-07-16 13:39:05,ro3,33.0,13.9
2026-07-16 14:00:08,ro3,33.0,13.7
2026-07-16 14:02:02,ro3,33.0,13.8
2026-07-16 15:51:07,ro3,33.0,13.9
2026-07-16 16:04:40,ro3,33.0,13.8
2026-07-16 16:10:01,ro3,33.0,14.1
